"jurisdiction","reg_voters","total_ballots_cast","trump_n","trump_pct","biden_n","biden_pct","jorgensen_n_pct","hawkins_n","hawkins_pct","blankenship_n","blankenship_pct","wells_n","wells_pct","simmons_n","simmons_pct","carroll_n","carroll_pct","NA"
"","21 GALLATIN 1","3654","1458","603 41.36%","811","55.62%","29","1.99%","11","0.75%","2","0.14%","0","-","2","0.14%","0","-"
"","21 GALLATIN 2","4309","1631","696 42.67%","888","54.45%","42","2.58%","3","0.18%","2","0.12%","0","-","0","-","0","-"
"","21 GALLATIN 3","2038","996","417 41.87%","557","55.92%","13","1.31%","4","0.40%","3","0.30%","0","-","0","-","2","0.20%"
"","21 GALLATIN 4","1735","828","334 40.34%","474","57.25%","17","2.05%","3","0.36%","0","-","0","-","0","-","0","-"
"","21 GALLATIN 5","2556","1320","696 52.73%","597","45.23%","21","1.59%","2","0.15%","1","0.08%","0","-","0","-","3","0.23%"
"","21 GALLATIN 6","1671","801","388 48.44%","383","47.82%","20","2.50%","9","1.12%","1","0.12%","0","-","0","-","0","-"
"","21 GALLATIN 7","1512","747","365 48.86%","359","48.06%","17","2.28%","4","0.54%","2","0.27%","0","-","0","-","0","-"
"","21 GALLATIN 8","1545","763","363 47.58%","376","49.28%","18","2.36%","4","0.52%","1","0.13%","0","-","0","-","1","0.13%"
"","21 GALLATIN 9","1606","806","357 44.29%","417","51.74%","23","2.85%","2","0.25%","0","-","0","-","0","-","7","0.87%"
"","21 GALLATIN 10","2640","1214","661 54.45%","529","43.57%","19","1.57%","0","-","4","0.33%","0","-","0","-","1","0.08%"
"","21 GALLATIN 11","1513","708","239 33.76%","450","63.56%","15","2.12%","3","0.42%","0","-","0","-","1","0.14%","0","-"
"","21 CHOUTEAU 12","3833","1514","736 48.61%","742","49.01%","26","1.72%","9","0.59%","1","0.07%","0","-","0","-","0","-"
"","21 CHOUTEAU 13","2904","1301","807 62.03%","473","36.36%","17","1.31%","1","0.08%","3","0.23%","0","-","0","-","0","-"
"","21 GALLATIN 14","1672","869","403 46.38%","441","50.75%","17","1.96%","5","0.58%","3","0.35%","0","-","0","-","0","-"
"","21 GALLATIN 15","2827","1230","499 40.57%","691","56.18%","28","2.28%","7","0.57%","3","0.24%","0","-","0","-","2","0.16%"
"","21 CHOUTEAU 16","2872","1276","670 52.51%","577","45.22%","22","1.72%","3","0.24%","4","0.31%","0","-","0","-","0","-"
"","21 CHOUTEAU 17","4420","1957","1126 57.54%","770","39.35%","51","2.61%","7","0.36%","3","0.15%","0","-","0","-","0","-"
"","21 CHOUTEAU 18","2751","1366","703 51.46%","637","46.63%","20","1.46%","4","0.29%","2","0.15%","0","-","0","-","0","-"
